,block,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,lon,lat
143,060750301022,2017-02-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.4549,37.75637
144,060750332031,2019-08-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.47367,37.7155
145,060750256001,2019-06-14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.42491,37.729454
146,060750210004,2011-08-10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.42489,37.748226
147,060750177002,2015-06-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.41529,37.765015
148,060750332031,2017-01-17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.47367,37.7155
149,060750102002,2016-12-02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.424164,37.799965
150,060750167001,2019-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-122.432915,37.771793
151,060750110001,2014-11-19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.42259,37.79584
152,060750257022,2018-09-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.40434,37.729435
153,060750329022,2016-02-08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.488205,37.75279
154,060750176013,2010-09-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-122.41359,37.77957
155,060750264022,2012-04-16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.40135,37.716915
156,060750205003,2014-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-122.438034,37.758293
157,060750109002,2015-04-17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-122.417854,37.797436
158,060750332043,2018-10-29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.482994,37.72083
159,060750329012,2013-04-24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.49376,37.747864
160,060750607001,2011-07-29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.39304,37.77729
161,060750162003,2016-09-12,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.42563,37.777496
162,060750101001,2013-03-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.411316,37.80686
163,060750124012,2018-01-29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.41415,37.78326
164,060750176013,2014-06-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.41279,37.777752
165,060750332032,2017-11-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.481575,37.71686
166,060750254031,2011-09-12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.4237,37.735287
167,060750332043,2019-06-27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.48047,37.719067
168,060750476001,2015-07-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.47931,37.779373
169,060750202002,2011-05-25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.424515,37.768566
170,060750171012,2019-07-22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-122.44527,37.763348
171,060750351007,2017-11-03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.50045,37.75131
172,060750124012,2018-12-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.41487,37.78269
173,060750330003,2015-05-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.48745,37.738228
174,060750166003,2012-01-20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.45123,37.770416
175,060750231022,2015-03-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.38755,37.733
176,060750332041,2020-02-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.47853,37.72013
177,060750332032,2016-02-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-122.48063,37.717464
178,060750113001,2011-03-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.411674,37.79607
179,060750204021,2011-02-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.44501,37.748188
180,060750478012,2011-10-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.49417,37.776794
181,060750330004,2015-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-122.49361,37.737614
182,060750156002,2017-08-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-122.45745,37.77536
